Frame,Time,Right Arm Down-Up,Right Arm Front-Back,Right Forearm Twist In-Out
0,0.0000,-0.504714,0.387245,0.165848
1,0.0333,-0.501541,0.389131,0.164475
2,0.0667,-0.497830,0.390703,0.163940
3,0.1000,-0.494012,0.391973,0.163370
4,0.1333,-0.490384,0.392948,0.162232
5,0.1667,-0.486222,0.393586,0.161904
6,0.2000,-0.481997,0.393924,0.161527
7,0.2333,-0.477719,0.393979,0.161107
8,0.2667,-0.473410,0.393770,0.160644
9,0.3000,-0.469079,0.393323,0.160146
10,0.3333,-0.464722,0.392706,0.159619
11,0.3667,-0.460817,0.391996,0.158221
12,0.4000,-0.456497,0.391172,0.157531
13,0.4333,-0.452193,0.390334,0.156842
14,0.4667,-0.447953,0.389382,0.156148
15,0.5000,-0.443831,0.388363,0.155457
16,0.5333,-0.439827,0.387289,0.154781
17,0.5667,-0.435973,0.386139,0.154133
18,0.6000,-0.432439,0.384722,0.153533
19,0.6333,-0.429540,0.382625,0.153027
20,0.6667,-0.426599,0.380934,0.152506
21,0.7000,-0.423957,0.379113,0.152014
22,0.7333,-0.421589,0.377162,0.151536
23,0.7667,-0.419488,0.375132,0.151071
24,0.8000,-0.417658,0.373052,0.150622
25,0.8333,-0.416113,0.370945,0.150195
26,0.8667,-0.414878,0.368827,0.149790
27,0.9000,-0.413964,0.366664,0.149410
28,0.9333,-0.412931,0.364549,0.149884
29,0.9667,-0.412798,0.362489,0.149391
30,1.0000,-0.413034,0.360467,0.148917
31,1.0333,-0.413642,0.358479,0.148464
32,1.0667,-0.414631,0.356525,0.148038
33,1.1000,-0.416005,0.354608,0.147642
34,1.1333,-0.417773,0.352724,0.147273
35,1.1667,-0.419480,0.350842,0.147829
36,1.2000,-0.421888,0.348996,0.147849
37,1.2333,-0.424667,0.347179,0.147920
38,1.2667,-0.427349,0.345373,0.148923
39,1.3000,-0.430697,0.343625,0.149293
40,1.3333,-0.434345,0.341903,0.149728
41,1.3667,-0.438283,0.340150,0.150231
42,1.4000,-0.442085,0.338483,0.151627
43,1.4333,-0.446434,0.336926,0.152382
44,1.4667,-0.450974,0.335443,0.153205
45,1.5000,-0.455673,0.334059,0.154092
46,1.5333,-0.460498,0.332779,0.155041
47,1.5667,-0.465081,0.331585,0.156858
48,1.6000,-0.470034,0.330533,0.157995
49,1.6333,-0.475020,0.329617,0.159162
50,1.6667,-0.480009,0.328812,0.160355
51,1.7000,-0.484947,0.328248,0.161535
52,1.7333,-0.489796,0.327882,0.162701
53,1.7667,-0.494227,0.327700,0.164640
54,1.8000,-0.498779,0.327759,0.165803
55,1.8333,-0.503132,0.328057,0.166919
56,1.8667,-0.507234,0.328590,0.167985
57,1.9000,-0.511025,0.329349,0.169019
58,1.9333,-0.514375,0.330304,0.170069
59,1.9667,-0.517520,0.331552,0.170958
60,2.0000,-0.520333,0.333049,0.171748
61,2.0333,-0.522819,0.334792,0.172425
62,2.0667,-0.524968,0.336777,0.172967
63,2.1000,-0.526767,0.338996,0.173375
64,2.1333,-0.528223,0.341421,0.173649
65,2.1667,-0.529336,0.344028,0.173800
66,2.2000,-0.530103,0.346783,0.173839
67,2.2333,-0.530813,0.349669,0.173042
68,2.2667,-0.530879,0.352606,0.172943
69,2.3000,-0.530609,0.355596,0.172757
70,2.3333,-0.530000,0.358659,0.172488
71,2.3667,-0.529075,0.361670,0.172157
72,2.4000,-0.527822,0.364637,0.171770
73,2.4333,-0.526559,0.367562,0.170617
74,2.4667,-0.524641,0.370381,0.170234
75,2.5000,-0.522431,0.373096,0.169812
76,2.5333,-0.519943,0.375691,0.169358
77,2.5667,-0.517188,0.378167,0.168870
78,2.6000,-0.514524,0.380575,0.167605
79,2.6333,-0.511259,0.382915,0.167140
80,2.6667,-0.507919,0.385110,0.166582
81,2.7000,-0.504714,0.387245,0.165848
